Combinations,Simple Averaging,Blending,,,,Stacking (Repeat = 1),,,,Stacking (Repeat = 10),,,
,,MLR,PR(4),DTR(6),SVR(L),MLR,PR(4),DTR(6),SVR(L),MLR,PR(4),DTR(6),SVR(L)
RFR,0.000544,0.000333,0.000362,0.00048,0.003376,0.000323,0.000314,0.000343,0.0023,0.000323,0.000313,0.000325,0.00209
ETR,0.000556,0.00036,0.000342,0.000463,0.004041,0.000339,0.000323,0.000383,0.002242,0.000337,0.000321,0.000361,0.002385
GBR,0.000518,0.000332,0.000309,0.000456,0.003281,0.000311,0.000298,0.000366,0.002329,0.000312,0.000299,0.000305,0.002213
XGBR,0.000539,0.000319,0.000298,0.00044,0.003847,0.000296,0.000291,0.000354,0.00232,0.000297,0.000291,0.000301,0.002139
BAR,0.000544,0.00035,0.000499,0.000408,0.002806,0.000344,0.000339,0.000348,0.002,0.000336,0.000332,0.000337,0.001879
"RFR, ETR",0.000545,0.000339,0.012075,0.000497,0.003419,0.000322,0.000328,0.000351,0.002042,0.000321,0.000324,0.00033,0.002103
"RFR, GBR",0.000515,0.000328,0.003623,0.000483,0.002968,0.000313,0.000316,0.000353,0.002106,0.00031,0.000299,0.00031,0.001999
"RFR, XGBR",0.000536,0.000324,0.010304,0.000492,0.003127,0.000301,0.0004,0.00038,0.002219,0.000302,0.000296,0.000316,0.002042
"RFR, BAR",0.000537,0.000338,0.010862,0.000426,0.002011,0.000306,0.000606,0.000323,0.00183,0.000303,0.00028,0.000316,0.001647
"ETR, GBR",0.000519,0.000329,0.000497,0.000485,0.003511,0.000313,0.000308,0.000358,0.002103,0.000309,0.000303,0.000315,0.002219
"ETR, XGBR",0.000538,0.000318,0.001029,0.000461,0.00343,0.000299,0.000381,0.000338,0.002166,0.000297,0.0003,0.000316,0.002242
"ETR, BAR",0.000539,0.000357,0.036623,0.000411,0.002397,0.00031,0.000405,0.000326,0.001815,0.00031,0.000274,0.000307,0.001846
"GBR, XGBR",0.000513,0.000324,0.035758,0.000454,0.003269,0.000296,0.000291,0.000357,0.002217,0.000301,0.00029,0.000301,0.002212
"GBR, BAR",0.000515,0.00036,0.063098,0.000516,0.00268,0.000309,0.000498,0.000319,0.001954,0.000302,0.00028,0.00031,0.001755
"XGBR, BAR",0.000538,0.000355,0.004173,0.000431,0.002987,0.000298,0.000835,0.000331,0.001893,0.000297,0.000298,0.000308,0.001763
"RFR, ETR, GBR",0.000522,0.000333,0.313515,0.000474,0.00309,0.000313,0.000389,0.000349,0.001945,0.000309,0.000309,0.000309,0.001968
"RFR, ETR, XGBR",0.000538,0.000329,0.46725,0.000486,0.003181,0.000301,0.001212,0.000375,0.00206,0.000301,0.000325,0.000329,0.001987
"RFR, ETR, BAR",0.000538,0.000341,0.14691,0.000438,0.002098,0.000305,0.001942,0.000315,0.001886,0.000303,0.000288,0.000305,0.001691
"RFR, GBR, XGBR",0.000518,0.000323,0.217163,0.000506,0.003105,0.000301,0.000537,0.000381,0.002233,0.000304,0.000291,0.000315,0.001965
"RFR, GBR, BAR",0.000518,0.000349,0.061342,0.000431,0.002449,0.000305,0.000531,0.000329,0.001839,0.0003,0.000293,0.000312,0.001733
"RFR, XGBR, BAR",0.000536,0.000347,0.136336,0.000444,0.002642,0.000298,0.002017,0.000325,0.001738,0.000297,0.000293,0.000309,0.001706
"ETR, GBR, XGBR",0.000519,0.000321,1.152639,0.000478,0.003228,0.000297,0.000534,0.000353,0.00223,0.000301,0.000295,0.000315,0.002166
"ETR, GBR, BAR",0.00052,0.000361,0.287121,0.000491,0.002552,0.000305,0.000713,0.000309,0.001844,0.000301,0.000274,0.000303,0.001798
"ETR, XGBR, BAR",0.000536,0.000356,0.430401,0.000393,0.002833,0.000297,0.002173,0.000331,0.001864,0.000297,0.000283,0.000304,0.001722
"GBR, XGBR, BAR",0.000518,0.000358,0.239132,0.000444,0.002996,0.000297,0.014953,0.000318,0.001877,0.0003,0.000318,0.000306,0.001762
"RFR, ETR, GBR, XGBR",0.000522,0.000329,2.621982,0.000525,0.003203,0.000299,0.006256,0.000376,0.002069,0.000304,0.000305,0.000327,0.001947
"RFR, ETR, GBR, BAR",0.000523,0.000349,5.742796,0.000431,0.002429,0.000304,0.00074,0.000317,0.001823,0.0003,0.000333,0.000303,0.001692
"RFR, ETR, XGBR, BAR",0.000536,0.000346,6.947006,0.000436,0.002672,0.000297,0.006977,0.000314,0.001745,0.000297,0.000291,0.000305,0.001626
"RFR, GBR, XGBR, BAR",0.000521,0.000348,1.194721,0.000439,0.002715,0.000296,0.013717,0.000331,0.001945,0.0003,0.000342,0.000305,0.001723
"ETR, GBR, XGBR, BAR",0.000521,0.000358,18.432151,0.000414,0.002931,0.000295,0.008582,0.00031,0.001857,0.0003,0.000353,0.000303,0.001797
"RFR, ETR, GBR, XGBR, BAR",0.000524,0.000347,33.85816,0.00044,0.002756,0.000295,0.066363,0.000318,0.002014,0.0003,0.000369,0.000303,0.001692
