District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Tiruchirapalli,0,0.3178415030371521,0.25892830984677595,0.26315789473684204,0.37090533917977825,0.2994652406417116,0.3824884792626729,0.24624001659578837,0.12013865611484913,0.03138530444313455
Tiruchirapalli,1,0.4195507840090406,0.20499223625230725,0.5502392344497605,0.5154758834150124,0.3473045237751123,0.686635944700461,0.17591536147702502,0.25123245337933403,0.06917881669495558
Tiruchirapalli,2,0.5218251165418842,0.22387425658453702,0.8038277511961721,0.6209698220273407,0.4373464373464373,0.9170506912442398,0.33274556581267456,0.1220680690337402,0.02957434065530849
Tiruchirapalli,3,0.7525074163017372,0.40897372044648883,0.909090909090909,0.7814031467629611,0.7240930770342536,0.8663594470046083,0.6862358676485839,0.15633149930099657,0.15316966008328067
Tiruchirapalli,4,0.7534962565334086,0.5585210793074153,0.8851674641148324,0.7612844983234461,0.7477959242665129,0.7834101382488481,0.831034125090758,0.26986436881218473,0.20220061691132432
Tiruchirapalli,5,0.6550360220370108,0.8379574019277534,0.722488038277512,0.6163270570028371,0.7107963578551817,0.48387096774193544,0.6995124987034538,0.21717341007382457,0.11747118437031726
Tiruchirapalli,6,0.5548806328577484,0.9189933495444291,0.6650717703349281,0.513541397988135,0.6243676831912126,0.3963133640552997,0.6498288559278081,0.2717202024248469,0.11446948230108396
Tiruchirapalli,7,0.5365164571267125,0.8254035683942228,0.6555023923444977,0.49342274954862053,0.6093366093366095,0.43317972350230394,0.678249144279639,0.3081256080512112,0.22313914593527404
Tiruchirapalli,8,0.553750529735838,0.7231711247180153,0.6315789473684208,0.5198607170492651,0.6090475502240211,0.4608294930875576,0.6807385126024268,0.5863453158596108,0.4700906902257668
Tiruchirapalli,9,0.45401892922729176,0.7080391410072366,0.3971291866028709,0.40443641991230317,0.5388061858650096,0.2580645161290321,0.6339591328700341,0.4991374870214279,0.27372303380229007
Tiruchirapalli,10,0.25780477468568996,0.590074121817596,0.14354066985645925,0.21201960278565923,0.3535192946957655,0.10138248847926257,0.47785499429519723,0.6284572054579495,0.35344331683344105
Tiruchirapalli,11,0.08179121344822723,0.41161046494594683,0.02392344497607647,0.07454217178230582,0.15363491834080104,0.07834101382488476,0.24997406907997102,0.317609163076269,0.09652081898174122
Tiruchirapalli,12,0.17008051984743616,0.25892830984677595,0.22488038277511951,0.236136187774052,0.14900997253938464,0.3502304147465437,0.12353490301835864,0.2542246784993092,0.08926039291996014
Tiruchirapalli,13,0.18618448933465195,0.20499223625230725,0.47846889952153115,0.3024245550683521,0.10868622633328551,0.6359447004608295,0.08204543097189057,0.21519494428411423,0.04464203282460638
