District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Coimbatore,0,0.3327074086719013,0.18660417296643478,0.28823529411764726,0.4685272258455939,0.3012810374822076,0.4797979797979798,0.14815216213287064,0.04247434332310567,0.018458229297471467
Coimbatore,1,0.4791737794469099,0.1475052918052615,0.5882352941176474,0.6123160928257243,0.42131899414834717,0.7474747474747475,0.24645063400888667,0.09957652445761442,0.012226806619041202
Coimbatore,2,0.5691362239672242,0.1799062594496522,0.8,0.665706051873199,0.5302862565238019,0.9191919191919191,0.4265741844586539,0.078928016402885,0.02672473505724583
Coimbatore,3,0.8207579378627516,0.37269428485031736,0.9352941176470592,0.840891854997725,0.8197058358374193,0.8737373737373738,0.7113904844478162,0.15677651431448764,0.1309199588348441
Coimbatore,4,0.6510754523728235,0.5238887208950709,0.7411764705882355,0.6159563173062336,0.7374663925351889,0.6717171717171716,0.8206350926628372,0.2338642777188108,0.18512303626499166
Coimbatore,5,0.4023557528166608,0.823283943150892,0.4176470588235297,0.2940998028211738,0.6090463387632454,0.21212121212121204,0.7945160940717458,0.7041213697568185,0.4505413012000209
Coimbatore,6,0.33390235575281657,0.9054883580284243,0.347058823529412,0.21128469588957985,0.5706152142970107,0.09595959595959613,0.7316570933131026,0.5167343478875127,0.3068967085900075
Coimbatore,7,0.3610447251621723,0.809298457816752,0.34117647058823514,0.22599726983163979,0.5998734777795353,0.14141414141414152,0.7187601603988293,0.35948690268756633,0.17071952332191476
Coimbatore,8,0.42181631956299076,0.6903235560931354,0.4058823529411765,0.33581070832701365,0.6090463387632454,0.2626262626262628,0.6919908962826493,0.46869939757072115,0.25357083694186494
Coimbatore,9,0.3868214407647658,0.6413214393710309,0.2941176470588236,0.33247383588654617,0.5410406452633245,0.21212121212121204,0.6787688306058305,0.3107890265858598,0.13457555514165326
Coimbatore,10,0.24684192557186715,0.5218778348956757,0.08235294117647067,0.23221598665251048,0.3879487585007118,0.11111111111111141,0.5546764929012679,0.32103720716249656,0.201838012193332
Coimbatore,11,0.07647661317855929,0.3377986090111883,0.029411764705882252,0.15652965266191407,0.1488217618219199,0.18686868686868688,0.18413352118781814,0.10916177924933618,0.032752735259809984
Coimbatore,12,0.1312734721748034,0.18660417296643478,0.22941176470588245,0.28939784620051573,0.11481891507195943,0.4444444444444443,0.12810230844261392,0.07351955631065499,0.029340902594966963
